12559	unser (exkl.); unsere (exkl.); unsers (exkl.); unserer (exkl.)	our (excl.); ours (excl.)	nuestro (exclusivo); nuestra (exclusivo); nuestro excluyente
12560	Schwiegertochter	daughter-in-law; sister-in-law; any female familiar adjunct; mother's daughter	nuera
12561	Wurm	worm	gusano
12562	nutzlos; wertlos	useless; worthless	inútil; sin valor
12563	laut atmen	to breathe noisily 	respirar con ruido
12564	Mädchen	girl; country woman; beautiful young woman	doncella
12565	Prinzessin; Inkaprinzessin	princess; inka princess; Incan princess	princesa; infanta
12566	weibliche Geister der Gewässer	female nature spirit; energy spirits living in water etc., generally feminine in nature	espíritus femeninos del agua
12567	Andenpriesterin fünften Grades	female or priestess of 5th level	sacerdotisa del quinto nivel
12568	wer Nasenschleim schluckt	who swallows nasal mucus	el que acostumbra sorber los mocos
12569	schnauben	to snort	resoplar; bufar; sonarse; sorber los mocos
12570	Schleim; Nasenschleim; Rotz	slime; snot; mucus; snot; nasal mucus; booger	moco
12571	schleimig	slimy	mocoso
12572	schleimig	slimy	mocoso
12573	gemahlen; pulverisiert	ground; pulverized	molido; refinado (molido)
12574	Gehirn; Hirn	brain	seso; cerebro; encéfalo; sesos; médula; médula ósea
12575	Staub	dust	polvo
12576	mahlen; fein mahlen; zu Pulver mahlen; pulverisieren	to grind; to grind to powder; to pulverize	moler; moler en polvo; pulverizar; moler fino; refinar (moler fino)
12577	hirnlos	without brains	calavera
12578	Hirnhaut	meninges	meninge
12579	Hirnhautentzündung; Menigitis	menigitis	menigitis; meningitis
12580	mit Hirn	with brain	que tiene sesos; persona de buen juicio
12581	Muskel	muscle	músculo
12582	weich machen; aufweichen	to soften	ablandar
12583	weich; zerstoßen; zerbröckelt; zerkrümelt	soft; broken up; ground up food	suave; liso; alimento apachurrado; desmenuzado; convertido en pasta; molido; menudo; blando; ñuto (<q)
12584	Süßspeise, hergestellt aus Maniok-Stärke, Branntwein, Zucker, Eiern und Fett, gebacken im Erdofen	sweet prepared on base of yuca starch, brandy, sugar, eggs, and fat, baked in an earth stove	dulce preparado a base de almidón de yuca, aguardiente, azúcar, huevos y manteca, se asan en horno de barro
12585	Staub	dust	polvo
12586	pulverisieren	to pound; to smash; to make dust	pulverizar; polvorizar; machacar
12587	Mücke	mosquito	mosquito
12588	glatt	smooth	suave; liso
12589	Staub	dust	polvo
12590	Kartoffelbrei; Kartoffelpüree	mashed potatoes	puré de papa
12591	zerbröckeln; zerkrümeln	to crumble	desmenuzar; desmigajar
12592	zerbröckelt; zerkrümelt	crumbled	apachurrado; convertido en pasta; desintegrado; desmenuzado; fragmentado
12593	Kartoffelpuffer	potato cake	tortilla de papas
12594	Nieselregen	soft rain; drizzle	llovizna
12595	nieseln	to drizzle	lloviznar
12596	zerbröckeln; zerkrümeln; kneten; zerstoßen; zerstampfen; zusammenpressen	to grind up food; to crumble; to flatter; to knead bread; to press together; to destroy	aplastar; compactar; apachurrar; convertir en pasta o molécula; moler; pulverizar; despedazar; triturar
12597	(Konsonant, Phonem der Ketschua-Sprache)	(consonant phoneme of the quechua language)	(fonema consonántico oclusivo, bilabial, simple); (consonante labial simple); (consonante oclusiva bilabial sorda); /p/ consonante oclusiva bilabial simple
12598	leben	to live	vivir
12599	du wirst jetzt selbst gehen	you will go yourself now	irás ahora mismo
12600	seit	since; for (time)	desde
12601	wirklich; selbst	really; oneself	de verdad; mismo
12602	derselbe; dieselbe	same	mismo
12603	Erde; Welt; Zeit; Zeitalter; Umwelt; Umfeld; Boden	earth; world; age; era; time; soil; space; nature; environment; place	tiempo; época; universo; tierra; mundo; cosmos; era; suelo; espacio; naturaleza; ambiente; hora; fecha; región; país; lugar; la tierra; el mundo; el tiempo; piso; territorio; base
12604	Stunde	hour	hora
12605	Rute; Schaft	rod; shaft	fuste
12606	Uhr	clock; watch	reloj
12607	unterbringen; Standort ausmachen; lokalisieren	to site; to locate; to place	ubicar
12608	Naturphänomen	natural phenomenon	fenómeno natural
12609	Morgengrauen	dawn	amanecer; alborada; aurora; madrugada
12610	Beginn der Zeit	beginning of time	inicio de tiempo
12611	Temporaladverb	adverb of time	adverbio de tiempo
12612	hundert	hundred; one hundred	cien; el número 100; centena; ciento
12613	Jahrhundert	century	siglo
12614	Provinz mit hundert Familien	province with one hundred families	provincia de cien familias
12615	Herrscher über hundert Familien in der Inkazeit; oberster Verwalter des Inka	ruler of one hundred families in Inca times; the Inka's majordomo	gobernador de cien familias en el tiempo inka; mayordomo mayor del Inca que tenía a cargo sus haciendas
12616	landwirtschaftlich	agrarian	agrario,a
12617	andine Gottheit; Schöpfer der Welt; Schöpfer-Gott	deity of the andes; creator of the world; creator; he who puts order in the world; title for the mystical God-Creator of all that is	divinidad andina; creador del mundo; dios; cuidador de la pacha; dios creador; pachacamac; dios creador del cosmos, del universo, del mundo, de la naturaleza, del espacio y del tiempo
12618	Kultstätte nahe der Stadt Lima	temple outside of Lima where the philosophy of yanantin was born	templo andino cerca de la ciudad de Lima
12619	Fluss im Departement Lima (Peru); (span.) río Lurín	river in the Department of Lima (Peru); (Span.) río Lurín	río en el departamento de Lima (Perú); (esp.) río Lurín
12620	Naturwissenschaft	natural science	ciencias naturales
12621	Landwirtschaftsgesetze	agrarian laws	leyes agrarias
12622	Hektogramm	hectogram	hectogramo
12623	landwirtschaftlich	agrarian	agrario,a
12624	Meteor	meteor	meteoro
12625	Leben der Welt; Natur; Umwelt	world life; nature; environment	vida del mundo; naturaleza; medio ambiente; pachavivencia (palabra que se aproxima a cosmovisión)
12626	Tausendfüßer	millipede	milpiés; ciempies; ciempiés; cienpiés; polidemo
12627	Zentiliter	centilitre	centilitro
12628	Hunderter	hundred (digit)	centena
12629	Zentimeter	centimetre; centimeter	centímetro
12630	auf Hundert verteilen	to divide into one hundred	dividir entre cien
12631	Hunderter	hundred (digit)	centena
12632	Zentigramm	centigram	centigramo
12633	Zentiliter	centilitre	centilitro
12634	Hunderter	hundred (digit)	centena
12635	hunderte	hundreds	centenas; centena
12636	verhundertfachen	to centuplicate	centuplicar
12637	Hektar	hectare	hectárea
12638	Hektogramm	hectogram	hectogramo
12639	drei von hundert; drei Prozent	three per cent; three percent	tres por ciento
12640	Hektometer	hectometre	hectómetro
12641	hundert Prozent	one hundred percent	cien por ciento
12642	hundertster; hundertste; hundertstes	hundredth	centésimo
12643	Grad (von hundert)	centigrade	centígrado
12644	hundertster; hundertste; hundertstes	hundredth	centésimo
12645	Hundertstel; Prozent	hundredth; per cent	centavo; por ciento
12646	in hundert geteilt	divided into one hundred	centesimal
12647	Prozent; von Hundert	percent	por ciento; tanto por ciento; porcentaje
12648	Hektoliter	hectolitre	hectolitro
12649	Hundertstel; Prozentsatz; Anteil von Hundert	hundredth; percentage	centésimo; porcentaje
12650	Cuadra (hundert Ellen zum Quadrat)	cuadra (one hundred cubits square)	cuadra (cien varas de terreno)
12651	Prozentdarstellung	percent notation	notación porcentual
12652	Hektometer	hectometre; hectometer	hectómetro
12653	Hektar	hectare	hectárea
12654	Pflanze mit regenerativer Wirkung auf brachliegenden Feldern	plant with regenerative effect on fallow fields	planta con efectos regenerativos en los campos de barbecha
12655	Zeitenwende; Wiederkehr der Welt; gewendete Welt; die wiederkehrende Welt; in der Geschichte der Inkas bezieht sich dieser Begriff auf eine Veränderung der Welt zwischen einem Zeitalter und dem nächsten	turning-point of time; world reversal; world turned upside down; returning world; apocalypse; cosmic transmutation occuring between one era and the next (in Inka history)	vuelta del tiempo; retorno del mundo; retorno del tiempo; retorno de la pacha; mundo vuelto; la tierra que regresa; transmutación cósmica que sucede entre una one era y la próxima (en historia Inka); regreso del tiempo; cambio del tiempo; gran cambio o trastorno en el orden social o político
12656	Weltenveränderer; Reformator; Name eines Inka	transformer of the world; reformer; name of an Inka	transformador del mundo; reformador; nombre de un Inka
12657	der neunte Inkaherrscher, der den größten Teil des Inkareiches errichtet haben soll, regierte ungefähr von 1438 bis 1471	the ninth Inka ruler attributed with building most of the Inka Empire, governed approximately between 1438 and 1471	el noveno emperador Inka atribuido de construir la mayor parte del imperio incáico, gobernó aproximadamente entre 1438 y 1471
12658	Renaissance; Zeitenwende	renaissance	renacimiento
12659	der die Welt bewegt, Bezeichnung für Pachakamaq; Gottheit der Erdbeben in Waruchiri	who makes the world move, attribute of Pachakamaq; deity of earthquakes in Waruchiri	movedor o sacudidor del mundo, atributo de Pachakamax; dios del terremoto en Waruchiri
12660	Zittern; Erdbeben	shiver; earthquake	temblor; temblor de tierra; terremoto; sismo
12661	zittern (Erde); beben (Erde)	to tremble (earth); to quake (earth)	temblar (tierra)
12662	Jahrhundert	century	siglo
12663	Jahrhundertfeier	centenario	centenario
12664	Jahrhundert	century	siglo
12665	hundertjährig	centenario	centenario
12666	Temperatur	temperature	temperatura
12667	Weltenlicht; Sonnenlicht	universal light; sunlight	luz universal; luz del sol
12668	Zeitendung; Temporalsuffix	tense suffix	sufijo marcador de tiempo verbal
12669	genau; präzise	precise	preciso
12670	neues Kleid	new dress	vestido nuevo
12671	Pflanze, die verwendet wird zum Gelb Färben	plant used to dye yellow	pachalloque; planta usada para teñir de amarillo; ratania
12672	unterirdische Höhle	underground cave	cueva subterránea
12673	Leben der Welt; Natur	world life; nature	vida del mundo; naturaleza; mundo
12674	andine Gottheit; Erdmutter; Mutter Erde	"deity of the andes; native goddess ""Mother Earth""; mother earth; universe; Mother Earth; literally 'our mother in time and space.' Both Mother Earth (spirit) and cosmic divine feminine principle; cosmic mother. ""Our mother in time and space"" refers to the planet earth aspect: our mother while we have a physical existence"	divinidad andina; divinidad incaica que representaba a la tierra; tierra madre; madre tierra (voz conocida pero no usada en Argentina, en Santiago del Estero no tiene una acepción religiosa); universo; Madre Tierra; Madre Tiempo; Madre Espacio; Madre Mundo; Madre Naturaleza; Madre Cosmos; Madre Universal; madre tierra; diosa de la fertilidad
12675	angewandte Wissenschaft (Fach)	applied sciences (subject)	ciencias aplicadas (asignatura)
12676	Bodenschatz	natural resource	recurso natural
12677	erneuerbarer Bodenschatz	renewable natural resource	recurso natural renovable
12678	nicht erneuerbarer Bodenschatz	unrenewable natural resource	recurso natural no renovable
12679	Bodenschatz	natural resource	recurso natural
12680	natürliche Reserven; Bodenschätze	natural resources	recursos naturales
12681	natürliches Zeichen	natural sign	señal natural
12682	Ökologie; Umwelt	ecology; environment	ecología; medio ambiente
12683	in einem Erdofen zubereitetes Mahl; öffentliches Gastmahl der Herrschaft fürs Volk	meal prepared in an earth pan; public meal offered by the authorities to the people	comida preparada en hoyos caldeados cubiertos con tierra; especie de banquete; convite público con que las autoridades reales agasajaban al pueblo; pachamanca
12684	Pflanze, die verwendet wird zum Orange Färben	plant used to dye orange	pachamara; planta usada para teñir de anaranjado
12685	Jahreszeit	season	estación; cada uno de los cuatro períodos en que se divide el año; estación del año
12686	Schwerkraft; Gravitation	gravitation	gravitación
12687	ganz; selbst	entire; itself	entero; lo mismo
12688	unter	under	bajo
12689	Grund; Boden	ground; soil	fondo
12690	Grundlage; Basis	base	base
12691	Lage; Standort	site; location; position	ubicación
12692	Pflanze, die verwendet wird zum Gelb oder Grünlich-Gelb Färben	plant used to dye yellow or greenish-yellow	planta usada para teñir de amarillo o amarillo verdoso
12693	Bauchschmerzen	belly-ache; gripes; stomach-ache	dolor de estómago
12694	Körper	body	cuerpo
12695	unveränderlich	invariable	invariable
12696	daselbst; da genau	there; in that very place	en el sitio; ahí mismo
12697	im selben Augenblick; sogleich; sofort; umgehend	at the same moment; immediately; as soon as possible	al mismo momento; súbitamente
12698	ähneln (einer dem anderen)	to look like; to resemble	parecerse uno a otro 
12699	neues Kleid	new dress	vestido nuevo
12700	Förderung	promotion; fostering	fomento
12701	Pachapallay (kleine Pflanze der Puna, deren süße Wurzeln gekaut werden und bei übermäßigem Genuß Karies und Schwarzfärbung der Lippen verursachen)	pachapallay (small plant of the puna whose sweet roots are chewed and cause caries and black-colored lips if consumed excessively)	patsapallay, pachapallay (pequeña planta de la puna cuyas raíces dulzonas se mastican. Si se mastica mucho produce caries y ennegrece los labios)
12702	Morgenstern; Venus	morning star; Venus	lucero del alba; Venus
12703	Morgenstern; Venus	morning star; Venus	lucero del alba; Venus
12704	Wesen in der Welt	being in the world	ser en el mundo; lo que está siendo en el mundo
12705	Laken; Bettlaken	bed sheet	sábana
12706	Relativitätstheorie	relativity theory	teoría de la relatividad
12707	Reifung der Früchte und des Korn	maduration of fruit and grain	maduración de frutos y granos; maduración completa
12708	vierter Monat im Jahr (Ende März und Anfang bis Mitte April); März (im Zeitalter der Inkas: Zeit der Obst- und Getreidereifung, die Haustiere wurden fett, und die Menschen aßen die Feldfüchte in früher Form. In diesem Monat wurden den Gottheiten der höchsten Berge schwarze Hammel (Lamas) geopfert. Es wurde auch gefastet, dabei auf Salz verzichtet und keine Frau angefasst)	fourth month in the year (end of march, beginning and middle of April); March (in the Inka era: Month of fruit and grain ripening, the animals grew fat and people ate the produce in early form. Black wethers (llamas) were sacrificed to the local mointain deities in this month. People fasted renouncing salt and touching no woman)	cuarto mes del año, abarcaba los finales de marzo y una mayor parte de abril; marzo (en la era de los Inkas: Mes de maduración de frutos y granos, los animales engordaban y la gente comía en forma temprana los productos. En este mes se sacrificaban carneros (llamas) negros a las divinidades locales en los cerros más altos. También se hacía ayuno privándose de la sal y sin tocar mujer); marzo
12709	Nebel; Bodennebel	fog	neblina
12710	Kuraka, der für die Armen sorgte (in der Inkazeit)	kuraka who took care of the poor (in Inka times)	curaca que volvía por todos los suyos (en el tiempo Inka)
