ID	Deutsch	English	Español	Italiano	Français
11275	sich gegenseitig dienen (gegenseitige Hilfe)	to serve each other (mutual help); to petition	servirse mutuamente (no se recibe paga alguna pero quien lo encarga tiene la obligación moral de retribuir en igual forma el beneficio recibido); contratarse	collaborare; servirsi mutuamente;[vedi: mink'a]	offrir ses services -travail-; demander de l'aide
11276	um eine Hilfe bitten	to ask a favor; to beseech	pedir ayuda	chiedere aiuto	
11277	Faktor	factor	factor; factores	fattore	
11278	beauftragen	to charge	encargar	incaricare	
11279	Beauftragter; Angeordneter; Delegierter	delegate	delegado	delegato	
11280	wer eine mit einer fremden Sprache gemischte Sprache spricht	who speaks a language mixed up with a foreign one	el que habla lengua mezclada de otras ajenas	colui che parla una lingua mischiata con un'altra	
11281	Diener; Arbeiter; wer in gegenseitiger Hilfe arbeitet	servant; worker; who works for mutual community service	peón; trabajador; que trabaja en servicio recíproco	lavoratore; inserviente; [chi lavoro con servizio reciproco; vedi mink'a]	
11282	um einen Dienst bitten; beauftragen; Hilfe im Gegenzug für eine andere Hilfe leisten; einladen	to ask for a service; to charge; to call a minga; to assign a duty; to ask a favor; to hire work for returned work instead of pay; to hire a substitute	encargar; encomendar un trabajo; pedir un servicio; pedir ayuda para una labor; encargar algo; confiar; invitar; contratar trabajo en reciprocidad; comprometer; invitar; contratar; alquiler; invitar a la minga; contratar personas	incaricare; affidare un lavoro; chiedere un servizio; chiedere aiuto per un lavoro; chiedere un favore; confidare; invitare; affittare; contrattare per lavoro reciproco; [vedi mink'a]	engager (emploi)
11283	einen Vertrag abschließen	to make a contract	contratar	contrattare	
11284	Einladung	invitation	invitación	invitazione	
11285	in einen Dienst eintreten; einen Dienst verrichten	to be in charge	encargarse de	incaricarsi	
11286	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	mindal; especie de planta medicinal de la selva ecuatoriana	mindal; [specie di pianta medicinale della selva ecuatoriana]; [tax. bin: Pentagonia spathicalyx]	
11287	Vermarktung	marketing; commercialization	comercialización	commercializzazione	
11288	Handel; Vermarktung	commerce; marketing; commercialization	comercio; comercialización	commercio; commercializzazione	
11289	vermarkten	to market; to commercialize	comercializar	commercializzare	
11290	berühmt	famous	afamado; célebre	celebre; famoso	célèbre
11291	Pyramide	pyramid	pirámide	piramide	
11292	Spule; Rolle	bobbin; reel; spool	bobina	bobina; avvolgimento	
11293	weniger	less	menos	meno	
11294	Minute	minute	minuto	minuto; [unità di misura, sottomultiplo del grado o dell'ora]	
11295	Formel	formula	fórmula	formula	
11296	Schiffchen, verwendet in liegendem Webstuhl	shuttle used on horizontal loom	lanzadera usada en telar horizontal	bobina; fuso del telaio; [bobina utilizzata nei telai orizzontali]	
11297	Menge zum Tragen in einem Poncho	quantity for carrying in a poncho	cantidad que llena un poncho	quantità che riempie un poncho	
11298	in seinem Poncho tragen	to carry in one's poncho	cargar en el poncho	trasportare nel poncho	
11299	Stärke	starch	fécula; almidón; polvillo	fecola; amido	
11300	faul (Ei); verrottet; beschädigt	rotten (egg); damaged	podrido (huevo); dañado; huevo estéril; huero	uovo sterile; uovo marcio	pourri (oeuf); avarié
11301	impotent	impotent (sexually)	impotente (sexual)	impotente; [sessualmente parlando]	impuissant (sens sexuel)
11302	unaufmerksam; vergesslich	inattentive; forgetful	desatento; olvidadizo	disattento; distratto	distrait; oublieux
11303	unfruchtbar werden (Ei)	to become sterile (egg)	volverse huevo estéril; volverse huero	diventare sterile; [riferito alle uova]	
11304	Mulitiplikation; Verfielfachung; Vermehrung	multiplication	multiplicación	moltiplicazione	
11305	Viehzüchter	cattle farmer; stock farmer	reproductor (referido al ganado); procreador; propagativo	procreatore; riproduttore; [riferito al bestiame]	
11306	Vervielfachung; Multiplikation	multiplication	multiplicación	moltiplicazione	
11307	vermehren; steigern; vergrößern; Vieh züchten; übertreiben	to multiply; to increase; to make bigger; to breed cattle; to breed stock; to exagerate	multiplicar; procrear; reproducir; aumentar; ampliar; hacer reproducir el ganado; exagerar; fomentar; aumentar considerablemente; generar; difundir; expandir; propagar	moltiplicare; procreare; riprodurre; aumentare; ampliare; fare riprodurre il bestiame; esagerare; fomentare; aumentare considerabilmente	
11308	malnehmen; multiplizieren	to multiply	multiplicar	moltiplicare	
11309	Exponent; Hochzahl	exponent	exponente	esponente	
11310	potenzieren	to raise to the power (of)	potenciar	potenziare	
11311	Basis (einer Potenz)	base (of a power)	base de la potencia	base di una potenza	
11312	Potenz	power	potencia	potenza	
11313	Faktor	factor	factor; factores	fattore	
11314	Fortpflanzung	reproduction	reproducción	riproduzione	
11315	Recht auf Fortpflanzung	right of reproduction	derecho a la reproducción	diritto alla riproduzione	
11316	sich vermehren; sich fortpflanzen	to reproduce	reproducirse	riprodursi	
11317	Produkt (der Multiplikation)	product (of multiplication)	producto (de la multiplicación)	prodotto (della moltiplicazione)	
11318	Vermehrung; zahlenmäßige Zunahme; Generation	generation; multiplication; family	multiplicación; aumento en número; generación; reproducción	moltiplicazione; aumento del numero; generazione	multiplication
11319	sich vermehren; vermehren; zunehmen	to increase; to multiply; to proliferate	reproducirse el ganado en forma natural; aumentar; multiplicar; proliferar; reproducir; acrecentar; multiplicarse; aumentar; producir; reproducirse; propagarse	riprodursi naturalmente; aumentare; moltiplicare; proliferare; accrescersi; moltiplicarsi; produrre; riprodurre; [riferito al bestiame]	multiplier; augmenter (intr.); proliférer
11320	brennen	to burn	arder	ardere	
11321	ein Kind wickeln; Windeln wechseln	to change nappies; to change diapers; to put a nappy on a child	fajar; cambiar pañales; envolver al bebé con la faja	fasciare; cambiare il pannolino; [avvolgere il bebè con una fascia]	emmailloter; envelopper un enfant
11322	zunehmen	to increase; to proliferate	aumentar; proliferar	aumentare; proliferare	augmenter (intr.); proliférer
11323	fruchtbare Frau	fecund woman	mujer fecunda	donna feconda	
11324	Picknick; Vesperbrot	snack; light meal; lunch; picnic	merienda; refrigerio; comida ligera	merenda; rinfresco; cibo leggero	
11325	sich verdient machen	to render great services to	merecer	meritare	
11326	Markt	market	mercado	mercato	
11327	vielfarbig; bunt	multi-coloured; polychrome	multicolor; polícromo; mezclado de muchos colores	multicolore; policromo	
11328	Mittwoch	Wednesday	miércoles	mercoledi	
11329	Quecksilber	mercury	mercurio	mercurio	
11330	Sommersprossen; Punkt auf dem Gesicht	freckles; spot in the face; spots on a woman's face during pregnancy	pecas; punto en la cara; mancha que aparece en la cara de la mujer durante el embarazo; paño de la cara; paño; mancha de la cara	lentiggine; macchia sulla pelle del viso; [macchie che appaiono sulla faccia della donna durante la gravidanza]	tache sur la figure
11331	Sommersprossengesicht	freckle face	cara pecosa; cara manchada	faccia lentigginosa	
11332	verringern; vermindern; verkleinern	to diminish; to reduce	disminuir	diminuire	
11333	gemischt aus mehreren Farben	mixed of several colours	mezclado de muchos colores	di molti colori	
11334	Kleid mit verschiedenen Farben	dress of various colours	ropa de varios colores	vestiti di molti colori	
11335	zweifarbig	two-coloured	de dos colores; bicolor	di due colori; bicolore	
11336	Messe	mass	misa	messa	
11337	Tisch	table	mesa	tavolo	
11338	Warze	wart; wart (a bluish corn cornel in an all white corn cob)	verruga; lunar	verruca; neo	
11339	Tisch des Paqo; Sammlung von Khuyas oder Gegenständen der Macht, die dem Schüler (Paqo) vom Lehrer oder von den Naturgeistern gegeben werden; der Tisch ist eine physische Erweiterung der Macht des andinen Priesters und wird in fast allen Zeremonien angewandt	"table of the paqo; collection of khuyas or power objects given by the teacher or nature spirits to the paqo (initiate); the mesa is a physical extension of the andean priests power and is used in almost all ceremonies; ceremonial table used in rituals and social events, laden with coca, alcohol, or foods to serve to supernatural beings or to the guests (Spanish ""table"" or ""Mass""); Andean priest's ritual power pack, filled with khuyas from his teachers and others close to him, and other objects"	mesa del paqo; colección de khuyas o objectos de poder entregados por el maestra o espíritu natural al alumno paqo; la mesa es una extensión física del poder de los sacerdotes andinos y se usa en casi todas las ceremonias	tavolo del paqo; [collezione di khuyas o oggetti di potere consegnati dalla maestra o spirito naturale all'alunno; la tavola è un'estensione fisica del potere dei sacerdoti andini e si usa in quasi tutte le cerimonie]	
11340	Mestizin	mestizo woman	mujer mestiza	donna meticcia	
11341	religiöses Fest	religious festival	fiesta religiosa	festa religiosa	fête religieuse
11342	Messe feiern lassen	to make celebrate mass	hacer celebrar misa	fare celebrare una messa	
11343	Wettbewerb; Konkurrenz	competition	competencia	gara	
11344	Gewinn	profit	ganancia	profitto; guadagno	
11345	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	misapu panga; especie de planta medicinal de la selva ecuatoriana	misapu panga; [specie di pianta medicinale della selva ecuatoriana]	
11346	gierig	greedy	tacaño; avaro	avaro; taccagno	
11347	Messe feiern	to celebrate mass	celebrar misa	celebrare una messa	
11348	eine Messe anbieten	to offer a mass	ofrecer una misa	offrire una messa	
11349	gewinnen; einnehmen; siegen	to win; to earn	ganar; vencer; triunfar	vincere; trionfare	
11350	wetten; wetteifern	to compete; to bet	competir; apostar	competere; scommettere	
11351	aus Geiz verweigern	to refuse because of greediness	negar por tacañería	rifiutare per taccagneria; rifiutare per avarizia	
11352	Mishaylaria (kleine Pflanze mit bunt getüpfelten Blüten); Kitaraqsa	mishailaria (small plant with colored-spotted flowers); Kitaraqsa	mishailaria (planta pequeña de flores moteadas de pequeñas manchas de colores); Quitaracsa	quitaracsa; mishailaria; [pianta dai fiori colorati con piccole macchie di colore differente]	
11353	Besiegter	loser; he who becomes won, conquered	perdedor	perdente	
11354	verlor; unterlag	became beaten	perdió	ha perso!	
11355	Katze	cat	gato; gata	gatto; gatta; [tax. reg: Animalia; ure: Eumetazoa; sph: Deuterostomia; phy: Chordata; uph: Vertebrata; iph: Gnathostomata; scl: Tetrapoda; cla: Mammalia; ucl: Theria; icl: Placentalia; ord: Carnivora; fam: Felidae; gen: Felis; spe: silvestris bin: Felis Silvestris]	chat
11356	Eckzahn	eyetooth	colmillo	canino; [dente aguzzo compreso tra gli incisivi e i molari]	canine
11357	geizig; knauserig	mean; miserly; stingy	que no convida; avaro; mezquino	avaro; taccagno	
11358	Kätzchen	kitten	gatito	gattino	
11359	blaue Augen	blue eyes	ojos azules; de ojos grises	occhi azzurri; occhi grigi	yeux bleus; personne aux yeux bleus
11360	Liane des Regenwalds (Art, Hauptnutzung: Medizin, Stricke)	kind of liana of the jungle (main use: medicinal, ropes); cat's claw	uña de gato; especie de liana de la selva (uso principal: medicina, cuerda de amarrar); especie de planta medicinal que se le atribuyen cualidades curativas del cancer, el licor de las siete raices, utilizado en casos de impotencia y aumentar la virilidad. Pero, esto es simplemente el botón de muestra, donde la exposición de variedades y las posibilidades llenarma tomos de autentico volumen, Sirva esto a su vez para llamar la atención sobre la necesidad de preservar ese donativo hecho graciosamente a la humanidad, de donde en un futuro sacaremos las fuentes de nuestra salud, ese sera nuestro tan buscado Eldorado	unghia di gatto; [specie di liana della selva utilizzata sia per costruire corde che in medicina; le si attribuiscono proprietà curative del cancro; il liquore di sette radici può essere utilizzato in caso di impotenza ed aumentare la virilità]; [tax. bin: Uncaria tomentosa]; [tax. bin: Uncaria guianensis]	
11361	Saubohne; dicke Bohne	broad bean	haba	fava; [tax. bin: Vicia faba]	
11362	mythische Stadt, bewohnt von hoch entwickelten und sehr schönen spirituellen Frauen, erzählt in der Mythologie von Q'ero, das weibliche Gegenstück zum Mythos von Paytiti	the mythical city inhabited by highly evolved and extremely beautiful spiritual women, revealed in Q'ero mythology, the female counterpart to the myth of Paytiti	ciudad mítica, habitada por mujeres espirituales elevadas, evolucionadas y muy bonitas, revelada en la mitología de Q'ero, contrastando con el mito de Paytiti	Miskayani; [città mitica, abitata da donne spirituali elevate, evolute e molto belle, raccontata nella mitologia di Q'ero, contrasta con il mito di Paytiti]	
11363	fruchtbares Tal von Qhochapampa, erobert von Inka Ruka	fertile valley of Qhochapampa, conquered by Inka Ruka	valle fértil de Cochabamba, conquistado por Ruka Inka	Miski; [valle fertile di Cochabamba conquistata da Ruka Inka]	
11364	süßer Geschmack	sweet taste	sabor dulce	sapore dolce	
11365	Weihrauch	incense	incienso	incenso	
11366	Obst	fruits	fruta	frutta	
11367	lecker	delicious	delicioso	delizioso	
11368	schmeicheln	to flatter; to court	lisonjear	corteggiare; adulare	
11369	Vergnügen	pleasure	gusto	gusto	
11370	gut schmecken; süß sein	to taste good; to be sweet	ser agradable; ser dulce	essere gradevole; essere dolce	
11371	süßes Getränk; Erfrischungsgetränk; Cola; Limonade	soft drinks; coke; soda; refreshments	cola; refresco	bibita; rinfresco	
11372	Biene	bee	abeja	ape; [tax. dom: Eukaryota; reg: Animalia; sre: Eumetazoa; ram: Bilateria; phy: Arthropoda; uph: Tracheata; ; cla: Insecta; ucl: Pterygota; coo: Endopterygota; sor: Oligoneoptera; sez: Hymenopteroidea; ordine: Hymenoptera; uor: Apocrita; sez: Aculeata; sfa: Apoidea; fam: Apidae; ufa: Apinae; tri: Apini; gen: Apis]	
11373	für ein Seil spinnen	to spin for a rope	torcer hilo para soga	torcere il filo; [per costruire una corda]	
11374	lecker; süß	sweet; tasty; sweet; good tasting	dulce; sabroso; rico; azucarado; sabroso; deleitoso; delicioso; rico (agradable); agradable	dolce; saporito; buono; zuccherato; delizioso; gradevole	
11375	Honig; Süßigkeit; Zucker	honey; sugar; sweet; sugar; sweet	miel; golosina; azúcar; golosina; caramelo; postre; dulce; manjar	miele; caramella; zucchero; caramello; dolce; torta	sucré; bon au goût; délicieux
11376	süßen; zuckern	to sweet; to sugar; to season; to spice	endulzar; sazonar; dulcificar; azucarar; poner dulce	addolcire; dolcificare; zuccherare	sucrer; adoucir
